Pixel,Wavelength(nm),Intensity(Counts)
1,145.5,1667
2,145.7,1651
3,145.9,1684
4,146.1,1647
5,146.3,1635
6,146.6,1616
7,146.8,1596
8,147,1637
9,147.2,1637
10,147.4,1636
11,147.6,1645
12,147.8,1615
13,148,1610
14,148.2,1660
15,148.4,1621
16,148.7,1645
17,148.9,1621
18,149.1,1675
19,149.3,1693
20,149.5,1693
21,149.7,1717
22,149.9,1692
23,150.1,1693
24,150.3,1671
25,150.5,1643
26,150.8,1623
27,151,1678
28,151.2,1637
29,151.4,1609
30,151.6,1632
31,151.8,1600
32,152,1553
33,152.2,1618
34,152.4,1633
35,152.6,1613
36,152.9,1615
37,153.1,1656
38,153.3,1653
39,153.5,1676
40,153.7,1692
41,153.9,1710
42,154.1,1690
43,154.3,1646
44,154.5,1643
45,154.7,1635
46,155,1565
47,155.2,1566
48,155.4,1549
49,155.6,1557
50,155.8,1563
51,156,1577
52,156.2,1625
53,156.4,1585
54,156.6,1630
55,156.9,1624
56,157.1,1658
57,157.3,1595
58,157.5,1653
59,157.7,1665
60,157.9,1618
61,158.1,1619
62,158.3,1645
63,158.5,1681
64,158.7,1687
65,159,1664
66,159.2,1557
67,159.4,1550
68,159.6,1619
69,159.8,1650
70,160,1675
71,160.2,1651
72,160.4,1603
73,160.6,1633
74,160.9,1674
75,161.1,1685
76,161.3,1657
77,161.5,1601
78,161.7,1579
79,161.9,1635
80,162.1,1645
81,162.3,1662
82,162.5,1671
83,162.8,1662
84,163,1633
85,163.2,1702
86,163.4,1633
87,163.6,1623
88,163.8,1560
89,164,1627
90,164.2,1740
91,164.4,1721
92,164.7,1667
93,164.9,1650
94,165.1,1618
95,165.3,1578
96,165.5,1598
97,165.7,1497
98,165.9,1528
99,166.1,1567
100,166.3,1634
101,166.6,1607
102,166.8,1627
103,167,1613
104,167.2,1666
105,167.4,1671
106,167.6,1695
107,167.8,1742
108,168,1756
109,168.2,1642
110,168.5,1609
111,168.7,1678
112,168.9,1677
113,169.1,1628
114,169.3,1664
115,169.5,1659
116,169.7,1661
117,169.9,1700
118,170.1,1753
119,170.4,1767
120,170.6,1709
121,170.8,1648
122,171,1671
123,171.2,1692
124,171.4,1709
125,171.6,1623
126,171.8,1621
127,172,1653
128,172.3,1619
129,172.5,1669
130,172.7,1659
131,172.9,1643
132,173.1,1631
133,173.3,1580
134,173.5,1683
135,173.7,1648
136,174,1633
137,174.2,1575
138,174.4,1587
139,174.6,1577
140,174.8,1617
141,175,1687
142,175.2,1700
143,175.4,1648
144,175.6,1677
145,175.9,1671
146,176.1,1653
147,176.3,1691
148,176.5,1701
149,176.7,1713
150,176.9,1670
151,177.1,1641
152,177.3,1695
153,177.6,1676
154,177.8,1686
155,178,1671
156,178.2,1649
157,178.4,1665
158,178.6,1647
159,178.8,1614
160,179,1569
161,179.3,1633
162,179.5,1677
163,179.7,1635
164,179.9,1615
165,180.1,1639
166,180.3,1615
167,180.5,1631
168,180.7,1677
169,181,1712
170,181.2,1684
171,181.4,1655
172,181.6,1566
173,181.8,1556
174,182,1610
175,182.2,1710
176,182.4,1737
177,182.6,1658
178,182.9,1685
179,183.1,1663
180,183.3,1639
181,183.5,1648
182,183.7,1615
183,183.9,1629
184,184.1,1689
185,184.3,1687
186,184.6,1768
187,184.8,1764
188,185,1749
189,185.2,1703
190,185.4,1661
191,185.6,1634
192,185.8,1671
193,186,1645
194,186.3,1617
195,186.5,1637
196,186.7,1627
197,186.9,1659
198,187.1,1613
199,187.3,1636
200,187.5,1656
201,187.8,1639
202,188,1600
203,188.2,1586
204,188.4,1627
205,188.6,1635
206,188.8,1692
207,189,1636
208,189.2,1636
209,189.5,1612
210,189.7,1600
211,189.9,1623
212,190.1,1645
213,190.3,1628
214,190.5,1685
215,190.7,1637
216,190.9,1671
217,191.2,1686
218,191.4,1633
219,191.6,1600
220,191.8,1569
221,192,1600
222,192.2,1596
223,192.4,1596
224,192.6,1652
225,192.9,1653
226,193.1,1645
227,193.3,1606
228,193.5,1669
229,193.7,1692
230,193.9,1699
231,194.1,1657
232,194.4,1616
233,194.6,1648
234,194.8,1665
235,195,1621
236,195.2,1587
237,195.4,1601
238,195.6,1553
239,195.8,1567
240,196.1,1647
241,196.3,1601
242,196.5,1601
243,196.7,1611
244,196.9,1594
245,197.1,1584
246,197.3,1619
247,197.6,1629
248,197.8,1684
249,198,1729
250,198.2,1705
251,198.4,1689
252,198.6,1708
253,198.8,1663
254,199,1617
255,199.3,1563
256,199.5,1583
257,199.7,1635
258,199.9,1715
259,200.1,1651
260,200.3,1668
261,200.5,1629
262,200.8,1625
263,201,1631
264,201.2,1645
265,201.4,1700
266,201.6,1656
267,201.8,1633
268,202,1597
269,202.3,1591
270,202.5,1644
271,202.7,1648
272,202.9,1647
273,203.1,1584
274,203.3,1640
275,203.5,1607
276,203.7,1583
277,204,1622
278,204.2,1640
279,204.4,1617
280,204.6,1579
281,204.8,1633
282,205,1669
283,205.2,1661
284,205.5,1675
285,205.7,1603
286,205.9,1613
287,206.1,1592
288,206.3,1577
289,206.5,1627
290,206.7,1633
291,207,1590
292,207.2,1597
293,207.4,1635
294,207.6,1676
295,207.8,1659
296,208,1596
297,208.2,1531
298,208.5,1570
299,208.7,1543
300,208.9,1568
301,209.1,1673
302,209.3,1641
303,209.5,1676
304,209.7,1560
305,210,1634
306,210.2,1579
307,210.4,1564
308,210.6,1591
309,210.8,1660
310,211,1701
311,211.2,1687
312,211.5,1719
313,211.7,1737
314,211.9,1700
315,212.1,1732
316,212.3,1715
317,212.5,1654
318,212.7,1681
319,213,1654
320,213.2,1638
321,213.4,1599
322,213.6,1607
323,213.8,1619
324,214,1643
325,214.2,1636
326,214.5,1649
327,214.7,1671
328,214.9,1660
329,215.1,1636
330,215.3,1573
331,215.5,1627
332,215.7,1684
333,216,1679
334,216.2,1680
335,216.4,1741
336,216.6,1713
337,216.8,1663
338,217,1656
339,217.3,1691
340,217.5,1613
341,217.7,1636
342,217.9,1632
343,218.1,1581
344,218.3,1603
345,218.5,1633
346,218.8,1617
347,219,1605
348,219.2,1635
349,219.4,1629
350,219.6,1665
351,219.8,1683
352,220,1697
353,220.3,1730
354,220.5,1648
355,220.7,1593
356,220.9,1545
357,221.1,1558
358,221.3,1583
359,221.5,1592
360,221.8,1574
361,222,1623
362,222.2,1578
363,222.4,1503
364,222.6,1575
365,222.8,1653
366,223.1,1650
367,223.3,1651
368,223.5,1630
369,223.7,1773
370,223.9,1743
371,224.1,1629
372,224.3,1598
373,224.6,1573
374,224.8,1589
375,225,1623
376,225.2,1629
